affiliations.name.en,affiliations.name.no,affiliations.name.se,affiliations.nameNow.en,affiliations.city.en,affiliations.city.no,affiliations.city.se,affiliations.country.en,affiliations.country.no,affiliations.country.se,affiliations.cityNow.en,affiliations.cityNow.no,affiliations.cityNow.se,affiliations.countryNow.en,affiliations.countryNow.no,affiliations.countryNow.se,affiliations.locationString.en,affiliations.locationString.no,affiliations.locationString.se,id,awardYear,category.en
"Université de Paris, Laboratoire Immuno-Hématologie","Université de Paris, Laboratoire Immuno-Hématologie","Université de Paris, Laboratoire Immuno-Hématologie","Université de Paris, Laboratoire Immuno-Hématologie",Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,France,Frankrike,Frankrike,"Paris, France","Paris, Frankrike","Paris, Frankrike",420,1980,Physiology or Medicine
Toulouse School of Economics (TSE),Toulouse School of Economics (TSE),Toulouse School of Economics (TSE),Toulouse School of Economics (TSE),Toulouse,Toulouse,Toulouse,France,Frankrike,Frankrike,Toulouse,Toulouse,Toulouse,France,Frankrike,Frankrike,"Toulouse, France","Toulouse, Frankrike","Toulouse, Frankrike",915,2014,Economic Sciences
Université Louis Pasteur,Université Louis Pasteur,Université Louis Pasteur,Université Louis Pasteur,Strasbourg,Strasbourg,Strasbourg,France,Frankrike,Frankrike,Strasbourg,Strasbourg,Strasbourg,France,Frankrike,Frankrike,"Strasbourg, France","Strasbourg, Frankrike","Strasbourg, Frankrike",268,1987,Chemistry
Collège de France,Collège de France,Collège de France,Collège de France,Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,France,Frankrike,Frankrike,"Paris, France","Paris, Frankrike","Paris, Frankrike",268,1987,Chemistry
University of Strasbourg,University of Strasbourg,University of Strasbourg,University of Strasbourg,Strasbourg,Strasbourg,Strasbourg,France,Frankrike,Frankrike,Strasbourg,Strasbourg,Strasbourg,France,Frankrike,Frankrike,"Strasbourg, France","Strasbourg, Frankrike","Strasbourg, Frankrike",931,2016,Chemistry
University of Maine,University of Maine,University of Maine,University of Maine,"Maine, ME","Maine, ME","Maine, ME",USA,USA,USA,"Maine, ME","Maine, ME","Maine, ME",USA,USA,USA,"Maine, ME, USA","Maine, ME, USA","Maine, ME, USA",938,2017,Physiology or Medicine
University of California,University of California,University of California,University of California,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA, USA","Berkeley, CA, USA","Berkeley, CA, USA",992,2020,Chemistry
Aarhus University,Aarhus University,Aarhus University,Aarhus University,Aarhus,Aarhus,Aarhus,Denmark,Danmark,Danmark,Aarhus,Aarhus,Aarhus,Denmark,Danmark,Danmark,"Aarhus, Denmark","Aarhus, Danmark","Aarhus, Danmark",289,1997,Chemistry
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",138,1990,Physics
US Naval Research Laboratory,US Naval Research Laboratory,US Naval Research Laboratory,US Naval Research Laboratory,"Washington, DC","Washington, DC","Washington, DC",USA,USA,USA,"Washington, DC","Washington, DC","Washington, DC",USA,USA,USA,"Washington, DC, USA","Washington, DC, USA","Washington, DC, USA",263,1985,Chemistry
Columbia University,Columbia University,Columbia University,Columbia University,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY, USA","New York, NY, USA","New York, NY, USA",945,2017,Chemistry
University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX","Dallas, TX","Dallas, TX",USA,USA,USA,"Dallas, TX","Dallas, TX","Dallas, TX",USA,USA,USA,"Dallas, TX, USA","Dallas, TX, USA","Dallas, TX, USA",270,1988,Chemistry
Howard Hughes Medical Institute,Howard Hughes Medical Institute,Howard Hughes Medical Institute,Howard Hughes Medical Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,270,1988,Chemistry
Amsterdam University,Amsterdam University,Amsterdam University,Amsterdam University,Amsterdam,Amsterdam,Amsterdam,the Netherlands,Nederland,Nederländerna,Amsterdam,Amsterdam,Amsterdam,the Netherlands,Nederland,Nederländerna,"Amsterdam, the Netherlands","Amsterdam, Nederland","Amsterdam, Nederländerna",15,1910,Physics
Copenhagen University,Copenhagen University,Copenhagen University,Copenhagen University,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",316,1926,Physiology or Medicine
Greifswald University,Greifswald University,Greifswald University,Greifswald University,Greifswald,Greifswald,Greifswald,Germany,Tyskland,Tyskland,Greifswald,Greifswald,Greifswald,Germany,Tyskland,Tyskland,"Greifswald, Germany","Greifswald, Tyskland","Greifswald, Tyskland",24,1919,Physics
Virginia Commonwealth University,Virginia Commonwealth University,Virginia Commonwealth University,Virginia Commonwealth University,"Richmond, VA","Richmond, VA","Richmond, VA",USA,USA,USA,"Richmond, VA","Richmond, VA","Richmond, VA",USA,USA,USA,"Richmond, VA, USA","Richmond, VA, USA","Richmond, VA, USA",756,2002,Chemistry
University of Texas,University of Texas,University of Texas,University of Texas,"Austin, TX","Austin, TX","Austin, TX",USA,USA,USA,"Austin, TX","Austin, TX","Austin, TX",USA,USA,USA,"Austin, TX, USA","Austin, TX, USA","Austin, TX, USA",976,2019,Chemistry
University of Illinois,University of Illinois,University of Illinois,University of Illinois,"Urbana, IL","Urbana, IL","Urbana, IL",USA,USA,USA,"Urbana, IL","Urbana, IL","Urbana, IL",USA,USA,USA,"Urbana, IL, USA","Urbana, IL, USA","Urbana, IL, USA",66,1956,Physics
University of Illinois,University of Illinois,University of Illinois,University of Illinois,"Urbana, IL","Urbana, IL","Urbana, IL",USA,USA,USA,"Urbana, IL","Urbana, IL","Urbana, IL",USA,USA,USA,"Urbana, IL, USA","Urbana, IL, USA","Urbana, IL, USA",66,1972,Physics
University of California,University of California,University of California,University of California,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA, USA","Berkeley, CA, USA","Berkeley, CA, USA",711,1994,Economic Sciences
MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",227,1962,Chemistry
NASA Goddard Space Flight Center,NASA Goddard Space Flight Center,NASA Goddard Space Flight Center,NASA Goddard Space Flight Center,"Greenbelt, MD","Greenbelt, MD","Greenbelt, MD",USA,USA,USA,"Greenbelt, MD","Greenbelt, MD","Greenbelt, MD",USA,USA,USA,"Greenbelt, MD, USA","Greenbelt, MD, USA","Greenbelt, MD, USA",804,2006,Physics
University of Toronto,University of Toronto,University of Toronto,University of Toronto,Toronto,Toronto,Toronto,Canada,Canada,Kanada,Toronto,Toronto,Toronto,Canada,Canada,Kanada,"Toronto, Canada","Toronto, Canada","Toronto, Kanada",266,1986,Chemistry
Atomic Energy Research Establishment,Atomic Energy Research Establishment,Atomic Energy Research Establishment,Atomic Energy Research Establishment,"Harwell, Berkshire","Harwell, Berkshire","Harwell, Berkshire",United Kingdom,Storbritannia,Storbritannien,"Harwell, Berkshire","Harwell, Berkshire","Harwell, Berkshire",United Kingdom,Storbritannia,Storbritannien,"Harwell, Berkshire, United Kingdom","Harwell, Berkshire, Storbritannia","Harwell, Berkshire, Storbritannien",56,1951,Physics
University of Sussex,University of Sussex,University of Sussex,University of Sussex,Brighton,Brighton,Brighton,United Kingdom,Storbritannia,Storbritannien,Brighton,Brighton,Brighton,United Kingdom,Storbritannia,Storbritannien,"Brighton, United Kingdom","Brighton, Storbritannia","Brighton, Storbritannien",247,1975,Chemistry
The Wellcome Trust Sanger Institute,The Wellcome Trust Sanger Institute,The Wellcome Trust Sanger Institute,The Wellcome Trust Sanger Institute,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",752,2002,Physiology or Medicine
MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",288,1997,Chemistry
Harvard Medical School,Harvard Medical School,Harvard Medical School,Harvard Medical School,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA, USA","Boston, MA, USA","Boston, MA, USA",356,1954,Physiology or Medicine
"Research Division of Infectious Diseases, Children's Medical Center","Research Division of Infectious Diseases, Children's Medical Center","Research Division of Infectious Diseases, Children's Medical Center","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA, USA","Boston, MA, USA","Boston, MA, USA",356,1954,Physiology or Medicine
Princeton University,Princeton University,Princeton University,Princeton University,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ, USA","Princeton, NJ, USA","Princeton, NJ, USA",712,1994,Economic Sciences
Rockefeller Institute for Medical Research,Rockefeller Institute for Medical Research,Rockefeller Institute for Medical Research,Rockefeller Institute for Medical Research,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ, USA","Princeton, NJ, USA","Princeton, NJ, USA",205,1946,Chemistry
Harvard University,Harvard University,Harvard University,Harvard University,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",109,1977,Physics
"University of Colorado, JILA","University of Colorado, JILA","University of Colorado, JILA","University of Colorado, JILA","Boulder, CO","Boulder, CO","Boulder, CO",USA,USA,USA,"Boulder, CO","Boulder, CO","Boulder, CO",USA,USA,USA,"Boulder, CO, USA","Boulder, CO, USA","Boulder, CO, USA",792,2005,Physics
National Institute of Standards and Technology,National Institute of Standards and Technology,National Institute of Standards and Technology,National Institute of Standards and Technology,"Boulder, CO","Boulder, CO","Boulder, CO",USA,USA,USA,"Boulder, CO","Boulder, CO","Boulder, CO",USA,USA,USA,"Boulder, CO, USA","Boulder, CO, USA","Boulder, CO, USA",792,2005,Physics
University of Toronto,University of Toronto,University of Toronto,University of Toronto,Toronto,Toronto,Toronto,Canada,Canada,Kanada,Toronto,Toronto,Toronto,Canada,Canada,Kanada,"Toronto, Canada","Toronto, Canada","Toronto, Kanada",314,1923,Physiology or Medicine
University College,University College,University College,University College,London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",903,2014,Physiology or Medicine
Northwestern University,Northwestern University,Northwestern University,Northwestern University,"Evanston, IL","Evanston, IL","Evanston, IL",USA,USA,USA,"Evanston, IL","Evanston, IL","Evanston, IL",USA,USA,USA,"Evanston, IL, USA","Evanston, IL, USA","Evanston, IL, USA",291,1998,Chemistry
All Souls College,All Souls College,All Souls College,All Souls College,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,"Oxford, United Kingdom","Oxford, Storbritannia","Oxford, Storbritannien",681,1972,Economic Sciences
The Wellcome Research Laboratories,The Wellcome Research Laboratories,The Wellcome Research Laboratories,The Wellcome Research Laboratories,Beckenham,Beckenham,Beckenham,United Kingdom,Storbritannia,Storbritannien,Beckenham,Beckenham,Beckenham,United Kingdom,Storbritannia,Storbritannien,"Beckenham, United Kingdom","Beckenham, Storbritannia","Beckenham, Storbritannien",427,1982,Physiology or Medicine
Brigham and Women's Hospital,Brigham and Women's Hospital,Brigham and Women's Hospital,Brigham and Women's Hospital,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA, USA","Boston, MA, USA","Boston, MA, USA",442,1990,Physiology or Medicine
Columbia University,Columbia University,Columbia University,Columbia University,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY, USA","New York, NY, USA","New York, NY, USA",746,2001,Economic Sciences
Washington University,Washington University,Washington University,Washington University,"St. Louis, MO","St. Louis, MO","St. Louis, MO",USA,USA,USA,"St. Louis, MO","St. Louis, MO","St. Louis, MO",USA,USA,USA,"St. Louis, MO, USA","St. Louis, MO, USA","St. Louis, MO, USA",337,1944,Physiology or Medicine
Princeton University,Princeton University,Princeton University,Princeton University,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ, USA","Princeton, NJ, USA","Princeton, NJ, USA",144,1993,Physics
University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX","Dallas, TX","Dallas, TX",USA,USA,USA,"Dallas, TX","Dallas, TX","Dallas, TX",USA,USA,USA,"Dallas, TX, USA","Dallas, TX, USA","Dallas, TX, USA",433,1985,Physiology or Medicine
University of Wisconsin,University of Wisconsin,University of Wisconsin,University of Wisconsin,"Madison, WI","Madison, WI","Madison, WI",USA,USA,USA,"Madison, WI","Madison, WI","Madison, WI",USA,USA,USA,"Madison, WI, USA","Madison, WI, USA","Madison, WI, USA",366,1958,Physiology or Medicine
University of Strasbourg,University of Strasbourg,University of Strasbourg,University of Strasbourg,Strasbourg,Strasbourg,Strasbourg,France,Frankrike,Frankrike,Strasbourg,Strasbourg,Strasbourg,France,Frankrike,Frankrike,"Strasbourg, France","Strasbourg, Frankrike","Strasbourg, Frankrike",862,2011,Physiology or Medicine
Brussels University,Brussels University,Brussels University,Brussels University,Brussels,Brussel,Bryssel,Belgium,Belgia,Belgien,Brussels,Brussel,Bryssel,Belgium,Belgia,Belgien,"Brussels, Belgium","Brussel, Belgia","Bryssel, Belgien",309,1919,Physiology or Medicine
Harvard University,Harvard University,Harvard University,Harvard University,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",85,1965,Physics
National Institutes of Health,National Institutes of Health,National Institutes of Health,National Institutes of Health,"Bethesda, MD","Bethesda, MD","Bethesda, MD",USA,USA,USA,"Bethesda, MD","Bethesda, MD","Bethesda, MD",USA,USA,USA,"Bethesda, MD, USA","Bethesda, MD, USA","Bethesda, MD, USA",396,1970,Physiology or Medicine
Vienna University,Vienna University,Vienna University,Vienna University,Vienna,Wien,Wien,Austria,Østerrike,Österrike,Vienna,Wien,Wien,Austria,Østerrike,Österrike,"Vienna, Austria","Wien, Østerrike","Wien, Österrike",317,1927,Physiology or Medicine
IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,Rüschlikon,Rüschlikon,Rüschlikon,Switzerland,Sveits,Schweiz,Rüschlikon,Rüschlikon,Rüschlikon,Switzerland,Sveits,Schweiz,"Rüschlikon, Switzerland","Rüschlikon, Sveits","Rüschlikon, Schweiz",131,1987,Physics
Uppsala University,Uppsala University,Uppsala University,Uppsala University,Uppsala,Uppsala,Uppsala,Sweden,Sverige,Sverige,Uppsala,Uppsala,Uppsala,Sweden,Sverige,Sverige,"Uppsala, Sweden","Uppsala, Sverige","Uppsala, Sverige",120,1981,Physics
Rockefeller Institute for Medical Research,Rockefeller Institute for Medical Research,Rockefeller Institute for Medical Research,Rockefeller Institute for Medical Research,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY, USA","New York, NY, USA","New York, NY, USA",321,1930,Physiology or Medicine
Zoologisches Institut der Universität München,Zoologisches Institut der Universität München,Zoologisches Institut der Universität München,Zoologisches Institut der Universität München,Munich,München,München,Germany,Tyskland,Tyskland,Munich,München,München,Germany,Tyskland,Tyskland,"Munich, Germany","München, Tyskland","München, Tyskland",400,1973,Physiology or Medicine
Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Mülheim/Ruhr,Mülheim/Ruhr,Germany,Tyskland,Tyskland,Mülheim/Ruhr,Mülheim/Ruhr,Mülheim/Ruhr,Germany,Tyskland,Tyskland,"Mülheim/Ruhr, Germany","Mülheim/Ruhr, Tyskland","Mülheim/Ruhr, Tyskland",228,1963,Chemistry
Rockefeller University,Rockefeller University,Rockefeller University,Rockefeller University,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY, USA","New York, NY, USA","New York, NY, USA",386,1967,Physiology or Medicine
Kyoto University,Kyoto University,Kyoto University,Kyoto University,Kyoto,Kyoto,Kyoto,Japan,Japan,Japan,Kyoto,Kyoto,Kyoto,Japan,Japan,Japan,"Kyoto, Japan","Kyoto, Japan","Kyoto, Japan",257,1981,Chemistry
Cornell University,Cornell University,Cornell University,Cornell University,"Ithaca, NY","Ithaca, NY","Ithaca, NY",USA,USA,USA,"Ithaca, NY","Ithaca, NY","Ithaca, NY",USA,USA,USA,"Ithaca, NY, USA","Ithaca, NY, USA","Ithaca, NY, USA",121,1982,Physics
Harvard University,Harvard University,Harvard University,Harvard University,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",682,1972,Economic Sciences
LIGO/VIRGO Collaboration,LIGO/VIRGO Collaboration,LIGO/VIRGO Collaboration,LIGO/VIRGO Collaboration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,943,2017,Physics
California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA, USA","Pasadena, CA, USA","Pasadena, CA, USA",943,2017,Physics
Max-Planck-Institut für Festkörperforschung,Max-Planck-Institut für Festkörperforschung,Max-Planck-Institut für Festkörperforschung,Max-Planck-Institut für Festkörperforschung,Stuttgart,Stuttgart,Stuttgart,Germany,Tyskland,Tyskland,Stuttgart,Stuttgart,Stuttgart,Germany,Tyskland,Tyskland,"Stuttgart, Germany","Stuttgart, Tyskland","Stuttgart, Tyskland",126,1985,Physics
Shimadzu Corp.,Shimadzu Corp.,Shimadzu Corp.,Shimadzu Corp.,Kyoto,Kyoto,Kyoto,Japan,Japan,Japan,Kyoto,Kyoto,Kyoto,Japan,Japan,Japan,"Kyoto, Japan","Kyoto, Japan","Kyoto, Japan",757,2002,Chemistry
Harvard University,Harvard University,Harvard University,Harvard University,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",378,1964,Physiology or Medicine
"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie","Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie","Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie","Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Altenberg; Grünau im Almtal,Altenberg; Grünau im Almtal ,Altenberg; Grünau im Almtal,Austria,Østerrike,Österrike,Altenberg; Grünau im Almtal,Altenberg; Grünau im Almtal ,Altenberg; Grünau im Almtal,Austria,Østerrike,Österrike,"Altenberg; Grünau im Almtal, Austria","Altenberg; Grünau im Almtal , Østerrike","Altenberg; Grünau im Almtal, Österrike",401,1973,Physiology or Medicine
University of Manchester,University of Manchester,University of Manchester,University of Manchester,Manchester,Manchester,Manchester,United Kingdom,Storbritannia,Storbritannien,Manchester,Manchester,Manchester,United Kingdom,Storbritannia,Storbritannien,"Manchester, United Kingdom","Manchester, Storbritannia","Manchester, Storbritannien",850,2010,Physics
Cologne University,Cologne University,Cologne University,Cologne University,Cologne,Köln,Köln,Germany,Tyskland,Tyskland,Cologne,Köln,Köln,Germany,Tyskland,Tyskland,"Cologne, Germany","Köln, Tyskland","Köln, Tyskland",211,1950,Chemistry
Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Zurich,Zurich,Switzerland,Sveits,Schweiz,Zurich,Zurich,Zurich,Switzerland,Sveits,Schweiz,"Zurich, Switzerland","Zurich, Sveits","Zurich, Schweiz",758,2002,Chemistry
The Scripps Research Institute,The Scripps Research Institute,The Scripps Research Institute,The Scripps Research Institute,"La Jolla, CA","La Jolla, CA","La Jolla, CA",USA,USA,USA,"La Jolla, CA","La Jolla, CA","La Jolla, CA",USA,USA,USA,"La Jolla, CA, USA","La Jolla, CA, USA","La Jolla, CA, USA",758,2002,Chemistry
Yale University,Yale University,Yale University,Yale University,"New Haven, CT","New Haven, CT","New Haven, CT",USA,USA,USA,"New Haven, CT","New Haven, CT","New Haven, CT",USA,USA,USA,"New Haven, CT, USA","New Haven, CT, USA","New Haven, CT, USA",236,1968,Chemistry
University of Chicago,University of Chicago,University of Chicago,University of Chicago,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL, USA","Chicago, IL, USA","Chicago, IL, USA",895,2013,Economic Sciences
Victoria University,Victoria University,Victoria University,Victoria University,Manchester,Manchester,Manchester,United Kingdom,Storbritannia,Storbritannien,Manchester,Manchester,Manchester,United Kingdom,Storbritannia,Storbritannien,"Manchester, United Kingdom","Manchester, Storbritannia","Manchester, Storbritannien",21,1915,Physics
University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,"Philadelphia, PA","Philadelphia, PA","Philadelphia, PA",USA,USA,USA,"Philadelphia, PA","Philadelphia, PA","Philadelphia, PA",USA,USA,USA,"Philadelphia, PA, USA","Philadelphia, PA, USA","Philadelphia, PA, USA",694,1980,Economic Sciences
Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,"Seattle, WA","Seattle, WA","Seattle, WA",USA,USA,USA,"Seattle, WA","Seattle, WA","Seattle, WA",USA,USA,USA,"Seattle, WA, USA","Seattle, WA, USA","Seattle, WA, USA",735,2001,Physiology or Medicine
IBM Thomas J. Watson Research Center,IBM Thomas J. Watson Research Center,IBM Thomas J. Watson Research Center,IBM Thomas J. Watson Research Center,"Yorktown Heights, NY","Yorktown Heights, NY","Yorktown Heights, NY",USA,USA,USA,"Yorktown Heights, NY","Yorktown Heights, NY","Yorktown Heights, NY",USA,USA,USA,"Yorktown Heights, NY, USA","Yorktown Heights, NY, USA","Yorktown Heights, NY, USA",97,1973,Physics
Fermi National Accelerator Laboratory,Fermi National Accelerator Laboratory,Fermi National Accelerator Laboratory,Fermi National Accelerator Laboratory,"Batavia, IL","Batavia, IL","Batavia, IL",USA,USA,USA,"Batavia, IL","Batavia, IL","Batavia, IL",USA,USA,USA,"Batavia, IL, USA","Batavia, IL, USA","Batavia, IL, USA",132,1988,Physics
Brown University,Brown University,Brown University,Brown University,"Providence, RI","Providence, RI","Providence, RI",USA,USA,USA,"Providence, RI","Providence, RI","Providence, RI",USA,USA,USA,"Providence, RI, USA","Providence, RI, USA","Providence, RI, USA",95,1972,Physics
University of Minnesota,University of Minnesota,University of Minnesota,University of Minnesota,"Minneapolis, MN","Minneapolis, MN","Minneapolis, MN",USA,USA,USA,"Minneapolis, MN","Minneapolis, MN","Minneapolis, MN",USA,USA,USA,"Minneapolis, MN, USA","Minneapolis, MN, USA","Minneapolis, MN, USA",820,2007,Economic Sciences
Academy of Sciences,Academy of Sciences,Academy of Sciences,Academy of Sciences,Moscow,Moskva,Moskva,USSR,Sovjet,Sovjetunionen,Moscow,Moskva,Moskva,Russia,Russland,Ryssland,"Moscow, USSR (now Russia)","Moskva, Sovjet (nå Russland)","Moskva, Sovjetunionen (nu Ryssland)",686,1975,Economic Sciences
Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Zurich,Zurich,Switzerland,Sveits,Schweiz,Zurich,Zurich,Zurich,Switzerland,Sveits,Schweiz,"Zurich, Switzerland","Zurich, Sveits","Zurich, Schweiz",200,1939,Chemistry
Academy of Sciences,Academy of Sciences,Academy of Sciences,Academy of Sciences,Moscow,Moskva,Moskva,USSR,Sovjet,Sovjetunionen,Moscow,Moskva,Moskva,Russia,Russland,Ryssland,"Moscow, USSR (now Russia)","Moskva, Sovjet (nå Russland)","Moskva, Sovjetunionen (nu Ryssland)",77,1962,Physics
Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,"Seattle, WA","Seattle, WA","Seattle, WA",USA,USA,USA,"Seattle, WA","Seattle, WA","Seattle, WA",USA,USA,USA,"Seattle, WA, USA","Seattle, WA, USA","Seattle, WA, USA",775,2004,Physiology or Medicine
California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA, USA","Pasadena, CA, USA","Pasadena, CA, USA",217,1962,Peace
