awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,motivation.en,motivation.se,prizes.links.rel,prizes.links.href,prizes.links.action,prizes.links.types,id,motivation.no,topMotivation.en,topMotivation.se
1952,1,1,1953-10-30,received,171135,2592831,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his altruism, reverence for life, and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1952,Get,application/json,513,"for sin nestekjærlighet, ærbødighet for livet og sitt utrettelige humanitære arbeid, som har bidratt til å holde ideen om brorskap mellom mennesker og nasjoner levende",NA,NA
1937,1,1,NA,received,158463,4801680,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid","för hans upptäckter rörande de biologiska förbränningsprocesserna, med särskild hänsyn till vitamin C och fumarsyrekatalysen",nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1937,Get,application/json,332,NA,NA,NA
1910,1,1,NA,received,140703,7259514,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances","såsom ett erkännande för den insats han genom sina arbeten rörande äggviteämnena, däri jämväl inbegripna nukleinsubstanserna, gjort till kännedomen om cellens kemi",nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1910,Get,application/json,304,NA,NA,NA
1964,3,1/4,NA,received,273000,2879320,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle","för grundläggande arbeten inom kvantelektroniken, som lett till framställning av oscillatorer och förstärkare enligt maser-laserprincipen",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1964,Get,application/json,83,NA,NA,NA
1970,1,1,1970-10-08,received,400000,3235593,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for the ethical force with which he has pursued the indispensable traditions of Russian literature,för den etiska kraft varmed han fullföljt den ryska litteraturens omistliga traditioner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1970,Get,application/json,644,NA,NA,NA
2003,1,1/3,2003-10-07,received,10000000,12021411,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for pioneering contributions to the theory of superconductors and superfluids,för banbrytande insatser inom teorin för supraledare och supravätskor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2003,Get,application/json,766,NA,NA,NA
1912,1,1,NA,received,140476,6876120,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,såsom ett erkännande för hans arbeten rörande kärlsutur samt kärl- och organtransplantation,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1912,Get,application/json,306,NA,NA,NA
1982,2,1/2,1982-10-13,received,1150000,3158777,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their work for disarmament and nuclear and weapon-free zones,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1982,Get,application/json,544,for deres arbeid med nedrustning og atom- og våpenfrie soner,NA,NA
1969,2,1/3,NA,received,375000,3239253,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the replication mechanism and the genetic structure of viruses,för deras upptäckter rörande virus förökningsmekanism och genetiska struktur,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1969,Get,application/json,392,NA,NA,NA
1911,2,1/2,1911-12-10,received,140695,7460743,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1911,Get,application/json,479,"for sin innsats for å avdekke og bekjempe det han oppfattet som hovedårsaken til krig, nemlig anarkiet som preger internasjonale relasjoner",NA,NA
1994,1,1/2,1994-10-10,received,7000000,9417195,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,för deras upptäckt av G-proteiner och dessa proteiners betydelse för signalöverföring i celler,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1994,Get,application/json,450,NA,NA,NA
1966,1,1,NA,received,300000,2835149,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery and development of optical methods for studying Hertzian resonances in atoms,för upptäckt och utveckling av optiska metoder för studiet av hertzska resonanser i atomer,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1966,Get,application/json,87,NA,NA,NA
1913,1,1,NA,received,143010,7000156,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,"på grund av hans arbeten angående atomernas bindningsförhållanden inom molekylen, varigenom han belyst äldre och öppnat nya forskningsområden, särskilt inom den oorganiska kemien",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1913,Get,application/json,174,NA,NA,NA
2013,1,1,2013-10-10,received,8000000,8517568,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,master of the contemporary short story,den samtida novellkonstens mästare,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/2013,Get,application/json,892,NA,NA,NA
1979,1,1/2,1979-10-11,received,800000,3042231,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for the development of computer assisted tomography,för utvecklandet av datortomografi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1979,Get,application/json,417,NA,NA,NA
1911,1,1,NA,received,140695,7460743,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his work on the dioptrics of the eye,för hans arbeten rörande ögats dioptrik,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1911,Get,application/json,305,NA,NA,NA
1907,1,1,NA,received,138796,7161123,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,in recognition of his work on the role played by protozoa in causing diseases,såsom ett erkännande åt hans arbeten rörande protozoers betydelse som sjukdomsalstrare,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1907,Get,application/json,300,NA,NA,NA
1982,1,1/2,1982-10-13,received,1150000,3158777,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their work for disarmament and nuclear and weapon-free zones,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1982,Get,application/json,543,for deres arbeid med nedrustning og atom- og våpenfrie soner,NA,NA
2012,1,1/2,2012-10-15,received,8000000,8512821,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for the theory of stable allocations and the practice of market design,för teorin om stabila allokeringar och för utformning av marknadsinstitutioner i praktiken,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2012,Get,application/json,882,NA,NA,NA
1998,1,1,1998-10-14,received,7600000,9889843,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for his contributions to welfare economics,för hans bidrag till den ekonomiska välfärdsanalysen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1998,Get,application/json,719,NA,NA,NA
1947,2,1/2,1947-10-30,received,146115,2967378,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1947,Get,application/json,509,for deres banebrytende arbeid i den internasjonale fredsbevegelsen og medmenneskelige innsats for å lindre menneskelig lidelse og derigjennom fremme brorskap mellom nasjoner,NA,NA
1977,1,1,1977-10-10,received,700000,3136854,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for worldwide respect for human rights,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1977,Get,application/json,537,for verdensomspennende respekt for menneskerettighetene,NA,NA
