awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,motivation.en,motivation.se,prizes.links.rel,prizes.links.href,prizes.links.action,prizes.links.types,id,motivation.no,topMotivation.en,topMotivation.se
2019,1,1/3,2019-10-09,received,9000000,9000000,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the development of lithium-ion batteries,för utveckling av litiumjonbatterier,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2019,Get,application/json,976,NA,NA,NA
1956,2,1/3,NA,received,200123,2748452,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their researches on semiconductors and their discovery of the transistor effect,för deras undersökningar över halvledare och upptäckt av transistor effekten,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1956,Get,application/json,66,NA,NA,NA
1972,1,1/3,NA,received,480000,3406394,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their jointly developed theory of superconductivity, usually called the BCS-theory","för den av dem gemensamt utvecklade teorien för supraledningsfenomenet, vanligen kallad BCS-teorien",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1972,Get,application/json,66,NA,NA,NA
1994,1,1/3,1994-10-11,received,7000000,9417195,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their pioneering analysis of equilibria in the theory of non-cooperative games,för deras banbrytande analys av jämvikter i teorin för icke-kooperativa spel,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1994,Get,application/json,711,NA,NA,NA
1962,2,1/2,NA,received,257220,2888429,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their studies of the structures of globular proteins,för deras undersökningar rörande globulära proteiners byggnad,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1962,Get,application/json,227,NA,NA,NA
2006,1,1/2,2006-10-03,received,10000000,11762169,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,för upptäckten av den kosmiska bakgrundsstrålningens svartkroppsform och anisotropi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2006,Get,application/json,804,NA,NA,NA
1986,3,1/3,1986-10-15,received,2000000,4172678,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their contributions concerning the dynamics of chemical elementary processes,för deras insatser rörande dynamiken hos kemiska elementarprocesser,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1986,Get,application/json,266,NA,NA,NA
1951,1,1/2,NA,received,167612,2734798,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,för deras pionjärarbete vid genomförandet av kärnomvandlingar medelst artificiellt accelererade partiklar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1951,Get,application/json,56,NA,NA,NA
1975,1,1/2,1975-10-17,received,630000,3465908,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his work on the stereochemistry of enzyme-catalyzed reactions,för hans arbeten rörande enzymkatalyserade reaktioners stereokemi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1975,Get,application/json,247,NA,NA,NA
2002,3,1/3,2002-10-07,received,10000000,12252888,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning genetic regulation of organ development and programmed cell death',för deras upptäckter rörande genetisk reglering av organutveckling och programmerad celldöd,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2002,Get,application/json,752,NA,NA,NA
1997,2,1/4,1997-10-15,received,7500000,9746426,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),för deras klargörande av den enzymatiska mekanismen för syntes av adenosintrifosfat (ATP),nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1997,Get,application/json,288,NA,NA,NA
1954,1,1/3,NA,received,181647,2688094,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,för deras upptäckt av poliomyelitvirus förmåga att föröka sig i kulturer av vävnader av av olika slag,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1954,Get,application/json,356,NA,NA,NA
1994,2,1/3,1994-10-11,received,7000000,9417195,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their pioneering analysis of equilibria in the theory of non-cooperative games,för deras banbrytande analys av jämvikter i teorin för icke-kooperativa spel,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1994,Get,application/json,712,NA,NA,NA
1932,1,1,NA,received,171753,5375024,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,"för den förnäma skildringskonst, som i The Forsyte Saga uppnått sitt högsta uttryck",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1932,Get,application/json,605,NA,NA,NA
1946,2,1/4,NA,received,121524,2549333,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their preparation of enzymes and virus proteins in a pure form,för deras arbeten över renframställning av enzymer och virusproteiner,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1946,Get,application/json,205,NA,NA,NA
1977,3,1/3,1977-10-11,received,700000,3136854,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,för deras grundläggande teoretiska insatser rörande elektronstrukturen i magnetiska och oordnade system,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1977,Get,application/json,109,NA,NA,NA
1998,1,1/2,1998-10-16,received,7600000,9889843,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their efforts to find a peaceful solution to the conflict in Northern Ireland,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1998,Get,application/json,566,for deres innsats for å finne en fredelig løsning på konflikten i Nord-Irland,NA,NA
2005,2,1/4,2005-10-04,received,10000000,11923798,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique","för deras bidrag till utvecklingen av laserbaserad precisionsspektroskopi, inkluderande den optiska frekvenskamstekniken",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2005,Get,application/json,792,NA,NA,NA
1923,2,1/2,NA,received,114935,3226631,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for the discovery of insulin,för upptäckten av insulin,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1923,Get,application/json,314,NA,NA,NA
2014,1,1/2,NA,received,8000000,8531844,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries of cells that constitute a positioning system in the brain,för deras upptäckter av celler som utgör ett positioneringssystem i hjärnan,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2014,Get,application/json,903,NA,NA,NA
1998,2,1/2,1998-10-13,received,7600000,9889843,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his development of computational methods in quantum chemistry,för hans utveckling av kvantkemisk beräkningsmetodik,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1998,Get,application/json,291,NA,NA,NA
1972,1,1/2,1972-10-25,received,480000,3406394,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their pioneering contributions to general economic equilibrium theory and welfare theory,för deras banbrytande insatser inom allmän ekonomisk jämviktsteori och välfärdsteori,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1972,Get,application/json,681,NA,NA,NA
1946,2,1/2,1946-11-14,received,121524,2549333,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1946,Get,application/json,507,for sitt bidrag til å opprette et fredsfremmende religiøst brorskap på tvers av landegrensene,NA,NA
1982,3,1/3,1982-10-11,received,1150000,3158777,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning prostaglandins and related biologically active substances,för deras upptäckter rörande prostaglandiner och närbesläktade biologiskt aktiva substanser,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1982,Get,application/json,427,NA,NA,NA
1962,1,1,NA,received,257220,2888429,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception","för hans på en gång realistiska och fantasifulla berättarkonst, utmärkt av medkännande humor och social skarpsyn",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1962,Get,application/json,634,NA,NA,NA
1904,2,1/2,NA,received,140859,7908819,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama","med avseende fäst å hans omfattande och snillrika författarskap, som på självständigt och orginellt sätt återupplivat det spanska skådespelets stora traditioner",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1904,Get,application/json,574,NA,NA,NA
1996,2,1/2,1996-10-11,received,7400000,9662517,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their work towards a just and peaceful solution to the conflict in East Timor,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1996,Get,application/json,563,for en rettferdig og fredelig løsning på konflikten i Øst-Timor,NA,NA
1998,1,1,NA,received,7600000,9889843,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality","som med liknelser burna av fantasi, medkänsla och ironi ständigt på nytt gör en undflyende verklighet gripbar",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1998,Get,application/json,675,NA,NA,NA
1987,1,1,NA,received,2175000,4352280,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity","för ett vittfamnande författarskap, präglat av tankeskärpa och poetisk intensitet",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1987,Get,application/json,664,NA,NA,NA
1990,1,1/2,NA,received,4000000,6443882,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning organ and cell transplantation in the treatment of human disease,för deras upptäckter rörande organ - och celltransplantation som klinisk behandlingsmetod,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1990,Get,application/json,442,NA,NA,NA
2001,3,1/3,2001-10-10,received,10000000,12518033,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their analyses of markets with asymmetric information,för deras analys av marknader med assymetrisk informations,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2001,Get,application/json,746,NA,NA,NA
1944,1,1/2,NA,received,121841,2555983,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries relating to the highly differentiated functions of single nerve fibres,för deras upptäckter rörande de enskilda nervtrådarnas mångsidiga funktionella differentiering,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1944,Get,application/json,337,NA,NA,NA
1993,2,1/2,1993-10-13,received,6700000,9208279,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation","för upptäckten av en ny typ av pulsar, en upptäckt som öppnat nya möjligheter för studiet av gravitationen",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1993,Get,application/json,144,NA,NA,NA
1985,2,1/2,NA,received,1800000,3913667,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the regulation of cholesterol metabolism,för deras upptäckter rörande kontrollen av kolesterolets omsättning,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1985,Get,application/json,433,NA,NA,NA
1995,1,1/2,1995-10-13,received,7200000,9446598,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1995,Get,application/json,560,for deres arbeid for å redusere kjernevåpnenes plass i internasjonal politikk og på lengre sikt å avskaffe slike våpen,NA,NA
1958,3,1/2,NA,received,214559,2694692,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,för hans upptäckter rörande genetisk rekombination samt arvsmassans organisation hos bakterier,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1958,Get,application/json,366,NA,NA,NA
2016,1,1,2016-10-07,received,8000000,8451577,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2016,Get,application/json,934,for hans iherdige innsats for å bringe den mer enn 50 år lange borgerkrigen i landet til opphør,NA,NA
1956,1,1,NA,received,200123,2748452,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",för hans lyriska diktning som på spanskt språk bildar ett föredöme av hög andlighet och konstnärlig renhet,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1956,Get,application/json,627,NA,NA,NA
2011,2,1/4,NA,received,10000000,10736783,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the activation of innate immunity,för deras upptäckter rörande aktivering av medfödd immunitet,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2011,Get,application/json,862,NA,NA,NA
1919,1,1,NA,received,133127,2420376,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discoveries relating to immunity,för hans upptäckter beträffande immuniteten,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1919,Get,application/json,309,NA,NA,NA
1965,2,1/3,NA,received,282000,2833358,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles","för deras fundamentala insats inom kvantelektrodynamiken, med djupgående konsekvenser för elementarpartikelfysiken",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1965,Get,application/json,85,NA,NA,NA
1970,3,1/3,1970-10-15,received,400000,3235593,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation","för deras upptäckter rörande signalsubstanser i nervcellernas kontaktorgan och mekanismerna för deras upplagring, frisättning och inaktivering",nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1970,Get,application/json,396,NA,NA,NA
1927,1,1,NA,received,126501,3658946,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,för hans upptäckt av malariainympningens terapeutiska betydelse vid dementia paralytica,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1927,Get,application/json,317,NA,NA,NA
1987,2,1/2,1987-10-14,received,2175000,4352280,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their important break-through in the discovery of superconductivity in ceramic materials,för deras banbrytande upptäckt av supraledning i keramiska material,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1987,Get,application/json,131,NA,NA,NA
1981,3,1/2,1981-10-19,received,1000000,2982813,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for his contribution to the development of high-resolution electron spectroscopy,för hans bidrag till utvecklingen av den högupplösande elektronspektroskopien,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1981,Get,application/json,120,NA,NA,NA
2014,1,1/2,2014-10-10,received,8000000,8531844,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their struggle against the suppression of children and young people and for the right of all children to education,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2014,Get,application/json,913,for deres kamp mot undertrykkelse av barn og ungdom og for alle barns rett til utdannelse,NA,NA
1917,1,1/2,1917-11-08,received,133823,3991689,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his varied and rich poetry, which is inspired by lofty ideals",för hans mångsidigt rika och av höga ideal burna diktning,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1917,Get,application/json,586,NA,NA,NA
1930,1,1,NA,received,172947,5158685,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discovery of human blood groups,för hans upptäckt av människosläktets blodgrupper,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1930,Get,application/json,321,NA,NA,NA
1973,1,1/3,NA,received,510000,3392300,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,för deras upptäckter rörande organisation och utlösning av individuella och sociala beteendemönster,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1973,Get,application/json,400,NA,NA,NA
1963,1,1/2,NA,received,265000,2890771,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their discoveries in the field of the chemistry and technology of high polymers,för deras upptäckter inom högpolymerernas kemi och teknologi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1963,Get,application/json,228,NA,NA,NA
1993,1,1/2,1993-10-13,received,6700000,9208279,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his invention of the polymerase chain reaction (PCR) method,för hans uppfinning av PCR-metoden (Polymerase Chain Reaction),nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1993,Get,application/json,278,NA,for contributions to the developments of methods within DNA-based chemistry,NA
2017,1,1,2017-10-05,received,9000000,9342577,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",som i romaner med stark känslomässig verkan har blottat avgrunden under vår skenbara hemhörighet i världen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/2017,Get,application/json,947,NA,NA,NA
1967,2,1/3,NA,received,320000,2895166,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the primary physiological and chemical visual processes in the eye,för deras upptäckter rörande de primära fysiologiska och kemiska synprocesserna i ögat,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1967,Get,application/json,386,NA,NA,NA
1981,1,1/2,1981-10-19,received,1000000,2982813,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for their theories, developed independently, concerning the course of chemical reactions",för deras var för sig utvecklade teorier för kemiska reaktioners förlopp,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1981,Get,application/json,257,NA,NA,NA
1982,1,1,1982-10-18,received,1150000,3158777,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for his theory for critical phenomena in connection with phase transitions,för hans teori för kritiska fenomen vid fasomvandlingar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1982,Get,application/json,121,NA,NA,NA
1972,2,1/2,1972-10-25,received,480000,3406394,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their pioneering contributions to general economic equilibrium theory and welfare theory,för deras banbrytande insatser inom allmän ekonomisk jämviktsteori och välfärdsteori,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1972,Get,application/json,682,NA,NA,NA
1994,1,1,NA,received,7000000,9417195,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today","som med poetisk kraft skapar en imaginär värld, där liv och myt förtätas till en skakande bild av människans belägenhet i nutiden",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1994,Get,application/json,671,NA,NA,NA
2000,1,1,2000-10-13,received,9000000,11538617,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2000,Get,application/json,725,for hans arbeid for demokrati og fred i Sør-Korea og i Øst-Asia generelt og for fred og forsoning spesielt med Nord-Korea,NA,NA
2017,3,1/4,2017-10-03,received,9000000,9342577,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for decisive contributions to the LIGO detector and the observation of gravitational waves,för avgörande bidrag till LIGO-detektorn och observationen av gravitationsvågor,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2017,Get,application/json,943,NA,NA,NA
1908,1,1/2,1908-12-10,received,139800,7212924,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1908,Get,application/json,473,"for deres langvarige arbeid for fredssaken som politikere, ledere av fredsforeninger, talere og forfattere",NA,NA
1985,1,1,1985-10-16,received,1800000,3913667,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of the quantized Hall effect,för upptäckten av den kvantiserade Halleffekten,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1985,Get,application/json,126,NA,NA,NA
1920,1,1,NA,received,134100,2438066,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his monumental work, <I>Growth of the Soil</I>",för hans monumentala verk Markens grøde,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1920,Get,application/json,589,NA,NA,NA
2001,2,1/2,2001-10-12,received,10000000,12518033,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their work for a better organized and more peaceful world,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2001,Get,application/json,749,for deres innsats for en bedre organisert og fredeligere verden,NA,NA
2002,2,1/4,2002-10-09,received,10000000,12252888,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,för deras utveckling av mjuka desorptionsjonisationsmetoder för masspektrometrisk analys av biologiska makromolekyler,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2002,Get,application/json,757,NA,for the development of methods for identification and structure analyses of biological macromolecules,NA
1964,1,1/2,NA,received,273000,2879320,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,för deras upptäckter rörande kolesterol - och fettsyreomsättningens mekanism och reglering,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1964,Get,application/json,378,NA,NA,NA
1973,2,1/3,NA,received,510000,3392300,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,för deras upptäckter rörande organisation och utlösning av individuella och sociala beteendemönster,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1973,Get,application/json,401,NA,NA,NA
