residences.country.en,residences.country.no,residences.country.se,residences.countryNow.en,residences.countryNow.no,residences.countryNow.se,residences.locationString.en,residences.locationString.no,residences.locationString.se,id,awardYear,category.en,residences.city.en,residences.city.no,residences.city.se,residences.cityNow.en,residences.cityNow.no,residences.cityNow.se
United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,499,1934,Peace,NA,NA,NA,NA,NA,NA
Belgium,Belgia,Belgien,Belgium,Belgia,Belgien,Belgium,Belgia,Belgien,475,1909,Peace,NA,NA,NA,NA,NA,NA
Burma,Burma,Burma,Myanmar,Myanmar,Myanmar,Burma (now Myanmar),Burma (nå Myanmar),Burma (nu Myanmar),553,1991,Peace,NA,NA,NA,NA,NA,NA
USA,USA,USA,USA,USA,USA,USA,USA,USA,845,2009,Peace,NA,NA,NA,NA,NA,NA
Austria,Østerrike,Österrike,Austria,Østerrike,Österrike,Austria,Østerrike,Österrike,468,1905,Peace,NA,NA,NA,NA,NA,NA
United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,621,1950,Literature,NA,NA,NA,NA,NA,NA
United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,535,1976,Peace,NA,NA,NA,NA,NA,NA
Norway,Norge,Norge,Norway,Norge,Norge,Norway,Norge,Norge,572,1903,Literature,NA,NA,NA,NA,NA,NA
USSR,Sovjet,Sovjetunionen,Russia,Russland,Ryssland,USSR (now Russia),Sovjet (nå Russland),Sovjetunionen (nu Ryssland),629,1958,Literature,NA,NA,NA,NA,NA,NA
Spain,Spania,Spanien,Spain,Spania,Spanien,Spain,Spania,Spanien,666,1989,Literature,NA,NA,NA,NA,NA,NA
Switzerland,Sveits,Schweiz,Switzerland,Sveits,Schweiz,Switzerland,Sveits,Schweiz,588,1919,Literature,NA,NA,NA,NA,NA,NA
Germany,Tyskland,Tyskland,Germany,Tyskland,Tyskland,Germany,Tyskland,Tyskland,500,1935,Peace,NA,NA,NA,NA,NA,NA
East Timor,Øst-Timor,Östtimor,East Timor,Øst-Timor,Östtimor,East Timor,Øst-Timor,Östtimor,562,1996,Peace,NA,NA,NA,NA,NA,NA
Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,501,1936,Peace,NA,NA,NA,NA,NA,NA
USA,USA,USA,USA,USA,USA,USA,USA,USA,489,1925,Peace,NA,NA,NA,NA,NA,NA
Norway,Norge,Norge,Norway,Norge,Norge,Norway,Norge,Norge,486,1921,Peace,NA,NA,NA,NA,NA,NA
France,Frankrike,Frankrike,France,Frankrike,Frankrike,France,Frankrike,Frankrike,662,1985,Literature,NA,NA,NA,NA,NA,NA
USA,USA,USA,USA,USA,USA,USA,USA,USA,505,1945,Peace,NA,NA,NA,NA,NA,NA
Poland,Polen,Polen,Poland,Polen,Polen,Poland,Polen,Polen,657,1980,Literature,NA,NA,NA,NA,NA,NA
USA,USA,USA,USA,USA,USA,USA,USA,USA,657,1980,Literature,NA,NA,NA,NA,NA,NA
Sweden,Sverige,Sverige,Sweden,Sverige,Sverige,Sweden,Sverige,Sverige,520,1961,Peace,NA,NA,NA,NA,NA,NA
Italy,Italia,Italien,Italy,Italia,Italien,Italy,Italia,Italien,674,1997,Literature,NA,NA,NA,NA,NA,NA
United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,567,1998,Peace,NA,NA,NA,NA,NA,NA
Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,669,1992,Literature,NA,NA,NA,NA,NA,NA
South Africa,Sør-Afrika,Sydafrika,South Africa,Sør-Afrika,Sydafrika,South Africa,Sør-Afrika,Sydafrika,546,1984,Peace,NA,NA,NA,NA,NA,NA
United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,817,2007,Literature,NA,NA,NA,NA,NA,NA
